Directorate,Summary Budget Heading,Budget Heading,Budget,"Budget 2015/16 £,000"
Public Health,Managed Expenditure,Agency Payments,Services provided by other organisations,"1,814"
Public Health,Managed Expenditure,Agency Payments,Services provided by Voluntary Sector,"3,551"
Public Health,Managed Expenditure,Agency Payments,Public Health Commissioned Services,"40,200"
Public Health,Managed Expenditure,Agency Payments,Residential Placements,819
Public Health,Managed Expenditure,Appropriations,Transfers to/from Earmarked Reserves,-800
Public Health,Managed Income,Internal Income,Income from other Directorates,"-6,283"
Public Health,Managed Income,Internal Income,Charges to / from HRA,-266
Public Health,Managed Income,Income - Grants,Government Grants,"-46,147"
Public Health,Managed Income,Income - Charges,Fees and charges,-2
Public Health,Managed Income,Income - Charges,Contributions,-36
Public Health,Managed Outside the Service,Accounting Adjustments,IAS 19 Pensions Costs,122
Public Health,Managed Outside the Service,Accounting Adjustments,Transfers to/from Statutory Reserves,-122
Public Health,Managed Outside the Service,Accounting Adjustments,Capital Charges,2
Public Health,Managed Outside the Service,Central Recharges,Corporate & Democratic Core Income,-198
Schools/Education,Managed Expenditure,Internal Charges,Managed Recharges Frm Other Directorates,643
Schools/Education,Managed Expenditure,Internal Charges,Distributed Grants,"69,246"
Schools/Education,Managed Expenditure,Transfer Payments,School Budget Share,"379,736"
Schools/Education,Managed Expenditure,Transfer Payments,Young People's Allowances,"1,715"
Schools/Education,Managed Expenditure,Capital,Schools Contingency,"1,112"
Schools/Education,Managed Expenditure,Appropriations,Transfers to/from Earmarked Reserves,"-2,100"
Schools/Education,Managed Income,Income - Grants,Government Grants,"-450,261"
Schools/Education,Managed Income,Income - Grants,DCLG Grants,-90
Strategic and Central Accounts,Managed Expenditure,Employees,Other Pension Costs,"1,868"
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,IT and telecommunications,48
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,Insurance,"4,002"
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,Professional Services and Subscriptions,100
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,Grants and Contributions,409
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,General Capitalisation,"-7,482"
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,Corporate Initiatives & Savings Targets,"-1,560"
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,Allowances,20
Strategic and Central Accounts,Managed Expenditure,Supplies and Services,Other Hired and Contracted Services,632
Strategic and Central Accounts,Managed Expenditure,Transport,Travel Allowances,4
Strategic and Central Accounts,Managed Expenditure,Internal Charges,Managed Recharges Frm Other Directorates,"3,926"
Strategic and Central Accounts,Managed Expenditure,Agency Payments,Former joint committee residual costs,426
Strategic and Central Accounts,Managed Expenditure,Agency Payments,WY Joint Committees,"1,502"
Strategic and Central Accounts,Managed Expenditure,Agency Payments,WY Probation Service,6
Strategic and Central Accounts,Managed Expenditure,Agency Payments,WY Combined Authority (formerly WY PTE),"34,161"
Strategic and Central Accounts,Managed Expenditure,Agency Payments,Flood Defence Levy,331
Strategic and Central Accounts,Managed Expenditure,Agency Payments,Coroners Service,"1,292"
Strategic and Central Accounts,Managed Expenditure,Transfer Payments,Business Rates Levy,"2,828"
Strategic and Central Accounts,Managed Expenditure,Transfer Payments,Land Drainage Levies,7
Strategic and Central Accounts,Managed Expenditure,Capital,External Interest Charge,"57,242"
Strategic and Central Accounts,Managed Expenditure,Capital,Statutory capital charge to HRA,"-25,714"
Strategic and Central Accounts,Managed Expenditure,Capital,Use of capital receipts to fund PFI,"-14,245"
Strategic and Central Accounts,Managed Expenditure,Capital,Minimum Revenue Provision,"29,769"
Strategic and Central Accounts,Managed Expenditure,Appropriations,Transfer to/from General Fund Reserves,"-1,400"
Strategic and Central Accounts,Managed Expenditure,Appropriations,Transfers to/from Earmarked Reserves,"1,624"
Strategic and Central Accounts,Managed Expenditure,Appropriations,Transfers to/from Capital Reserve,"-1,104"
Strategic and Central Accounts,Managed Income,Internal Income,Income from other Directorates,"-20,790"
Strategic and Central Accounts,Managed Income,Internal Income,Charges to / from HRA,"-14,498"
Strategic and Central Accounts,Managed Income,Internal Income,Corporate & Democratic Core Chge to HRA,"-1,445"
Strategic and Central Accounts,Managed Income,Income - Grants,Government Grants,-330
Strategic and Central Accounts,Managed Income,Income - Grants,DCLG Grants,"-27,617"
Strategic and Central Accounts,Managed Income,Income - Charges,Fees and charges,-666
Strategic and Central Accounts,Managed Income,Income - Charges,Contributions,"-1,049"
Strategic and Central Accounts,Managed Income,Income - Charges,Other income,"-5,621"
Strategic and Central Accounts,Managed Income,Income - Other,Interest and Dividends,-775
Strategic and Central Accounts,Managed Outside the Service,Accounting Adjustments,IAS 19 Pensions Costs,"52,736"
Strategic and Central Accounts,Managed Outside the Service,Accounting Adjustments,Transfers to/from Statutory Reserves,"-52,736"
Strategic and Central Accounts,Managed Outside the Service,Accounting Adjustments,Capital Charges,"-107,268"
Strategic and Central Accounts,Managed Outside the Service,Central Recharges,Corporate & Democratic Core Income,"12,397"
Strategic and Central Accounts,Managed Outside the Service,Other Internal Adjustments,Internal Reallocations Charges,"1,000"
Strategy and Resources,Managed Expenditure,Employees,Direct Pay Costs,"44,274"
Strategy and Resources,Managed Expenditure,Employees,Agency And Temporary Staff,"1,715"
Strategy and Resources,Managed Expenditure,Employees,National Insurance Contributions,"3,553"
Strategy and Resources,Managed Expenditure,Employees,Superannuation Costs,"5,899"
Strategy and Resources,Managed Expenditure,Employees,Other Pension Costs,"1,187"
Strategy and Resources,Managed Expenditure,Employees,Other Employee Related Costs,204
Strategy and Resources,Managed Expenditure,Employees,Training And Development,423
Strategy and Resources,Managed Expenditure,Premises,Grounds Maintenance,1
Strategy and Resources,Managed Expenditure,Premises,Building Security,1
Strategy and Resources,Managed Expenditure,Premises,Cleaning And Workplace Refuse,5
Strategy and Resources,Managed Expenditure,Premises,Rents,68
Strategy and Resources,Managed Expenditure,Premises,NNDR,2
Strategy and Resources,Managed Expenditure,Premises,Accommodation Charges,3
Strategy and Resources,Managed Expenditure,Supplies and Services,Materials and Equipment,180
Strategy and Resources,Managed Expenditure,Supplies and Services,Stationery and Postage,215
Strategy and Resources,Managed Expenditure,Supplies and Services,Advertising,4
Strategy and Resources,Managed Expenditure,Supplies and Services,IT and telecommunications,"7,435"
Strategy and Resources,Managed Expenditure,Supplies and Services,Insurance,79
Strategy and Resources,Managed Expenditure,Supplies and Services,Professional Services and Subscriptions,"1,135"
Strategy and Resources,Managed Expenditure,Supplies and Services,Allowances,13
Strategy and Resources,Managed Expenditure,Supplies and Services,External Audit Fees,327
Strategy and Resources,Managed Expenditure,Supplies and Services,Other Hired and Contracted Services,661
Strategy and Resources,Managed Expenditure,Supplies and Services,Licences,0
Strategy and Resources,Managed Expenditure,Supplies and Services,Publication and Promotion,17
Strategy and Resources,Managed Expenditure,Transport,Vehicles And Plant Related Expenditure,28
Strategy and Resources,Managed Expenditure,Transport,Travel Allowances,245
Strategy and Resources,Managed Expenditure,Transport,Fuel,9
Strategy and Resources,Managed Expenditure,Transport,Transport Related Insurance,1
Strategy and Resources,Managed Expenditure,Internal Charges,Managed Recharges Frm Other Directorates,"1,028"
Strategy and Resources,Managed Expenditure,Transfer Payments,Civic Allowances,57
Strategy and Resources,Managed Income,Internal Income,Income from other Directorates,"-16,971"
Strategy and Resources,Managed Income,Internal Income,Recharge Income from Capital,"-6,311"
Strategy and Resources,Managed Income,Income - Grants,DCLG Grants,"-1,242"
Strategy and Resources,Managed Income,Income - Sales,Sale of Goods and Services,-225
Strategy and Resources,Managed Income,Income - Charges,Fees and charges,"-3,429"
Strategy and Resources,Managed Income,Income - Charges,Other income,"-1,336"
Strategy and Resources,Managed Outside the Service,Accounting Adjustments,IAS 19 Pensions Costs,"1,373"
Strategy and Resources,Managed Outside the Service,Accounting Adjustments,Transfers to/from Statutory Reserves,"-1,373"
Strategy and Resources,Managed Outside the Service,Accounting Adjustments,Capital Charges,"7,540"
Strategy and Resources,Managed Outside the Service,Central Recharges,Corporate & Democratic Core Income,"-9,267"
Strategy and Resources,Managed Outside the Service,Other Internal Adjustments,Internal Reallocations Charges,656
Strategy and Resources,Managed Outside the Service,Other Internal Adjustments,Internal Reallocations Income,-656
